"무더위쉼터명,위도,경도,전화번호,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"다정마을 신한1단지 경로당,37.209397,127.0388178,031-5189-2346,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"다정마을 2단지 경로당,37.2083727,127.03918,031-5189-2346,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"임광그대가 경로당,37.2016045,127.0424087,031-5189-2346,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"SK뷰(아) 경로당,37.2048996,127.0387059,031-5189-2346,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"병점도서관,37.2123575,127.0461147,031-5189-2346,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"신미주경로당,37.2121127,127.0515369,031-5189-2346,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"느치미경로당,37.2088536,127.0440521,031-5189-2346,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"효성해링턴플레이스 경로당,37.2046991,127.0362075,031-5189-2346,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"병점4통 경로당,37.2035922,127.0352753,031-5189-2346,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"야로면분회,35.7052365,128.1699047,055-930-3489,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"대명11동경로당,35.8328126,128.5639255,053-664-2924,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"도촌1리 경로당,36.89284,128.726886,054-679-6503,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"상금3리경로당,36.688863,128.411789,054-650-6332,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"금당실마을북촌경로당,36.693097,128.407067,054-650-6332,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"하금1리경로당,36.685299,128.423239,054-650-6332,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"하금2리경로당,36.6869505,128.42083,054-650-6332,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"주공4단지 경로당,37.2073238,127.0454233,031-5189-2346,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"우남1차 경로당,37.2067758,127.0433911,031-5189-2346,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"우남2차 경로당,37.2143302,127.0460335,031-5189-2346,,,,,,,,,,,,,,,,,,,,,,,,,,,"
